nickname,userProvince,userLevelName,userClientShow,isMobile,score,creationTime,referenceTime,days,referenceId,content
君***殇,,金牌会员,,FALSE,5,2017/1/3 17:03,2016/12/26 0:04,8,1665416,外观大方漂亮，看中有自动档比较方便，自动称重之后自动选好洗涤时间漂洗次数和脱水的次数，老人家使用也不会被那些功能搞得晕头转向！烘干也很给力，虽然时间相对比较长，但是烘干的衣服都比较柔顺不起皱褶，不过建议第一次烘干之前来一次筒自洁，不然会有一股胶味，应该是门口密封胶的味道。赶上海尔活动日买，价格也相当优惠。
j***c,,PLUS会员,来自京东iPhone客户端,TRUE,5,2016/12/15 23:32,2016/12/12 0:10,3,1665416,很不错，但不是怎么会用，如一般的衣服应该调那一档？其他的都很OK，安装师傅很到位，用了几天还没发现有什么问题。
圣***尔,,金牌会员,来自京东Android客户端,TRUE,5,2017/1/4 7:50,2016/12/26 0:35,9,1665416,什么意思渣啊怎么装的这样的安装工！底板装的这样看不见吗？日日顺和海尔的怕怕啪啪啪
糖***9,陕西,金牌会员,来自京东Android客户端,TRUE,5,2016/12/28 20:27,2016/12/12 12:15,16,1665416,还不错，值得购买，想要买的小伙伴可以下手了，送货态度不错
j***o,内蒙古,金牌会员,来自京东iPhone客户端,TRUE,5,2016/11/16 15:29,2016/11/10 22:33,6,1665416,送货速度有点慢，洗衣机很满意，还没有安装，效果应该不错！
天***大,,银牌会员,来自京东iPhone客户端,TRUE,5,2016/11/14 12:03,2016/11/11 23:42,3,1665416,洗衣机回来了，超值！物流很快！安装师傅也很给力！最满意的一次购物，必须给满分！老婆今天洗了衣服，高温消毒，水的温度达到了90度啊。脱出来的水都能烫伤人，老婆说：这么高的温度洗，洗的比冷水干净好多。????
z***l,山西,金牌会员,来自京东iPhone客户端,TRUE,5,2016/11/12 20:14,2016/11/10 21:22,2,1665416,物流特别快，双十一都不拖延，十一买十二就到，高尚大的品牌，不错没得说，产品牛，服务赞！
大***5,,金牌会员,来自京东Android客户端,TRUE,5,2017/2/8 0:14,2017/2/5 9:24,3,1665416,送货预约安装各一天，下单后2天搞定，赞，洗衣机好静音比起朋友家的松下，海尔品质挺不错的！
e***1,广东,钻石会员,,FALSE,5,2016/11/11 16:08,2016/11/4 7:40,7,1665416,双十一价格还是很给力的，我觉得买支持国产的更好。性能比外国的不差，信价比也高。这款洗衣功能和烘干功能都不错，也很安静，烘干衣服的量不能太多4KG，时间有点长2个半小时，但是效果还可以抖一抖就可以的了。滚筒的省水省电一级能耗比，上排水的设计好不用改装地漏直接放到旁边的地盆里就可以了，水还可以回用洗地，只是排水管设计的有点短。另外加装了一个双头水龙头和一个滚轮底座245.低盘设计太低了，不加底座好像很容易地盘碰到水。
j***6,湖北,金牌会员,来自京东Android客户端,TRUE,5,2016/12/31 10:50,2016/12/12 0:22,19,1665416,洗衣机搞活动时候买的，比较便宜，带烘干，性价比杠杠的，物流和售后服务也很好
p***0,陕西,钻石会员,来自京东iPhone客户端,TRUE,5,2016/11/16 15:26,2016/11/10 22:05,6,1665416,京东速度快，送货师傅很热情，很准时，安装也特别到位，讲解的很清楚。注意事项都讲了，并且开机试了下机器，机器噪音很小，这次购物体验很不错，很满意。好评！
c***n,江西,金牌会员,,FALSE,5,2016/11/15 16:19,2016/11/10 0:04,5,1665416,快递师傅一个人送到家给赞(加包装的重量确实很重)，当天没有安装因家里放洗衣的地方进水处需要加工第三天请父亲到家指导安装试用(未预约安装师傅上门待移到正式使用位置有问题再请师傅指导目前暂无问题请教，水管太短估计要请教师傅到哪里买)唯一一点瑕疵是包装箱似乎很破旧！先上图晒单评价(向活动话费券前进，京东值得信赖！)后续再来续评价！
b***1,江苏,银牌会员,,FALSE,5,2016/11/18 8:43,2016/11/10 23:40,8,1665416,"洗衣机已经送到，包装完整，尽管是在双11购买的，送货时间被延误了，但是可以理解。
自己按照说明书进行安装，试洗了一下，总体不错，就是脱水时，滚筒声音有点偏大，但还是可以接受的。"
s***i,四川,金牌会员,来自京东Android客户端,TRUE,5,2017/1/24 16:30,2017/1/16 9:14,8,1665416,送货速度非常快，第二天就送到了！烘干功能冬天比较好，时间大概要两个半小时！海尔品牌！非常信奈！
七***片,广西,PLUS会员,,FALSE,5,2016/11/14 16:46,2016/11/5 22:21,9,1665416,很不错的洗衣机，价格实惠，功能齐全，海尔的品牌服务都值得信赖。送货安装的小哥也很给力。不错。
小志向,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/13 18:55,2016/11/11 0:56,2,1665416,双十一买的超值物流非常的快两天就收到货了 安装师傅很细心刚安上就拿了点衣服洗声音很小很静音不错真的很好
j***u,,银牌会员,来自京东iPhone客户端,TRUE,5,2016/12/30 22:19,2016/12/26 20:52,4,1665416,2799买到的，发票上面写的4499，优惠1700。我附近有间专卖店要卖我5199，差点就下手了，还好刚好看到京东那么大的优惠。那个洗衣机专用水龙头跟安装师傅买了76，洗衣机和水龙头都质保3年。其他买家，你们的烘干那个按钮会没有另3个按钮凸吗？
m***g,,银牌会员,来自京东Android客户端,TRUE,5,2017/2/1 11:43,2017/1/17 22:19,15,1665416,衣服洗的挺干净的，就是洗衣时间有点长，不管怎么说洗衣机就是很好，洗的衣服很干净。有点遗憾买了几天又降价了，没赶上活动！！！！还有就是客服态度也很好，物流也很快服务也很好，日日顺的快递小哥服务态度很好。支持&hellip;&hellip;
风***云,山东,金牌会员,来自京东Android客户端,TRUE,5,2016/12/8 14:06,2016/11/11 1:32,27,1665416,洗衣机看起来不错，送货师傅很不错。看别人评价说送货师傅卖东西，我们日照的师傅很好。他们给安装好，还介绍怎么用。就是配送时间太晚了，双十一买的十二月六号才配送。
拓***伟,,金牌会员,来自京东Android客户端,TRUE,5,2016/11/25 12:23,2016/11/11 10:58,14,1665416,很好很满意，给点个赞
w***n,江苏,金牌会员,来自京东iPhone客户端,TRUE,5,2016/11/14 23:22,2016/11/10 2:45,4,1665416,818已经买了一台，双十一价格更优惠，才2749，比之前买便宜了250呢，果然价格实时变化啊，而且还好评送话费券～等待中～可惜的是双11似乎京东速度也一般了，送货还是催了才派送，不太满意。另外水龙头安装不到位，试用还有点漏水，自己第二天再弄了下才好。
想***度,,PLUS会员,,FALSE,5,2017/1/5 19:02,2016/12/12 0:11,24,1665416,预定送货时间比较准时，水龙头换了一个76元，据说是可以自动关水，如果是合理收费，这次购物比较完美，洗衣机应该质量不用担心，海尔毕竟是老品牌，另外洗衣机柜里水龙头占了一定的位置，洗衣机和洗衣机柜的尺寸就有了一点点出入，不太影响美观和使用，另外发图送一年延保，希望不要骗我。
l***1,福建,钻石会员,来自京东Android客户端,TRUE,5,2016/11/20 9:29,2016/11/11 15:21,9,1665416,在双十一定的货，京东物流给了我意外的惊喜。居然在三天可以到货，实在是神速。还有京东的优惠券，便宜了很多，海尔是大品牌售后跟质量都没的说。
d***l,广东,企业会员,,FALSE,5,2016/11/13 0:18,2016/11/4 20:55,9,1665416,"特意用了几天才来 评价的，，不错，，烘干好用。使用非常简单，4口之家用，完全无压力的表示通过

声音不算很大（要特别把机子搞平，要么会跳舞的）"
j***c,,金牌会员,来自京东iPhone客户端,TRUE,5,2017/1/14 14:43,2016/11/10 16:28,65,1665416,双十一在京东上面买的，优惠了不少，安装师傅很负责，洗衣机很重，洗衣服的时候声音用该会很小，嘻嘻！
j***i,,金牌会员,来自京东iPhone客户端,TRUE,5,2017/1/24 16:47,2017/1/22 14:38,2,1665416,送货速度杠杠的，上门接着就安装上了，小伙不错，服务态度较好，给个好评，机子用了以后再追加。
j***y,,金牌会员,,FALSE,5,2016/11/10 17:07,2016/11/5 19:30,5,1665416,衣机美观又大方。容量也很大，滚桶洗衣，不易变型.、洗衣时很静音。洗衣机很实用。海尔洗衣机真的不愧是大品牌，不论是产品质量，还是工作人员服务态度，都是一流的，非常优秀，是其他牌子所不能比拟的！
j***p,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/16 18:40,2016/11/11 8:34,5,1665416,洗衣机看起来非常漂亮，尺寸也够大，洗个床单被罩啥的完全没有问题。海尔国产比较不错 支持国产。
j***d,,银牌会员,来自京东Android客户端,TRUE,5,2017/1/22 20:30,2017/1/20 9:43,2,1665416,物流超快，公司发货也快，一天就到货，机器完好无损，现在已经开始使用，期待好的质量，么么哒！
t***y,上海,钻石会员,来自京东Android客户端,TRUE,5,2016/12/11 11:13,2016/11/1 0:05,40,1665416,"双十一的时候买的，现在才安装，洗烘一体，非常满意。
安装小哥安装非常细心，还耐心教我怎么使用。"
D***u,浙江,钻石会员,来自京东iPhone客户端,TRUE,5,2017/2/8 16:43,2017/2/7 12:39,1,1665416,超级赞，不怎么会使用，不过很省力，真的很好，安装师傅特别热情，帮我们想办法，一分钱都没有收，真的很好。
C***员,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/17 0:42,2016/11/4 0:19,13,1665416,海尔洗衣机到货了，看到第一眼都很喜欢，然后马上试用了下，以及烘干功能，确实相当不错，性价比好，信赖海尔，冰箱也是海尔的！～
jd_138533vgc,,钻石会员,来自京东Android客户端,TRUE,5,2016/11/20 11:44,2016/11/10 22:49,10,1665416,双十一抢购的，没想到便宜这么多，今天东西到了，服务态度也很好，送货上门安装，海尔大品牌值得信赖，迫不及待的等着用一下，还有烘干功能，赞一个吧！
j***e,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/18 15:16,2016/11/12 23:00,6,1665416,一直相信国产品牌，一直相信京东，产品正在用之中，希望质量应该和我预想的一样！
庄***a,,钻石会员,来自京东Android客户端,TRUE,5,2017/1/23 10:48,2017/1/11 17:38,12,1665416,有自动档方便，烘干更好，出来衣服不皱褶，价格便宜，送货安装一条龙。相信海尔质量，品牌，防震很好，声音轻，值得推荐。
j***吖,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/16 10:56,2016/11/10 16:07,6,1665416,海尔品牌，一直信赖的老牌子，东西真的很不错，静音、干净，发货速度也快，物流人服务到位
木***晗,,金牌会员,来自京东iPhone客户端,TRUE,5,2016/12/17 19:23,2016/12/13 15:50,4,1665416,送给父母的礼物 洗烘一体适合南方多雨湿润气候  感谢还能送到老家太棒了  师傅上门安装 就是自来水还没有接上 暂时没有开始使用 期待让爸妈轻松使用 信奈海尔
jd_133233dhy,河北,金牌会员,,FALSE,5,2016/12/14 14:39,2016/12/12 11:17,2,1665416,"配送安装及时
售后态度好
还没用
看着很不错
支持国产
国货加油"
j***n,,钻石会员,,FALSE,5,2016/11/10 15:44,2016/11/5 19:23,5,1665416,冲着海尔的品牌及售后买的。洗衣机够份量，送货小伙费好大劲才背到四楼，看着都累，装好后我给水他也不喝。小伙你辛苦了。后来发现包装箱还有块防鼠板没有安装，家里没有老鼠，就先不装了。喜欢以下功能：一级节能；变频滚筒；有烘干功能（经常下雨，有时衣服好几天都不干）真是太好了。总之大品牌，性价比又不错，值得购买！
s***4,,金牌会员,来自京东Android客户端,TRUE,5,2016/11/21 10:23,2016/11/4 10:29,17,1665416,安装啦，还没试完所有功能，希望给力！送货师傅挺给力！
m***5,浙江,银牌会员,,FALSE,5,2016/11/14 10:25,2016/11/10 15:40,4,1665416,安装师傅很给力，直接送货和安装一体，服务也很不错，噪音很小，第一次买海尔洗衣机，不错，值得推荐，看着就高端大气上档次
王阿夕,广东,金牌会员,,FALSE,5,2016/11/18 9:26,2016/10/21 22:25,28,1665416,海尔，中国老品牌了，相信海尔的质量，也相信海尔的售后，这款洗衣机性价比高，功能又齐全，真的挺值得购买的
jd_150368jzp,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/15 22:35,2016/11/10 10:56,5,1665416,送的超快，服务很好，造型很时尚，总之一个字赞。。。。。。
杰***_,重庆,钻石会员,,FALSE,5,2016/12/20 10:39,2016/12/12 10:56,8,1665416,一直用海尔的洗衣机，已经买过多个了，效果都很好哦，这次是给我弟弟买的，安装在家里效果棒棒哒。
j***翔,安徽,钻石会员,,FALSE,5,2016/12/1 15:16,2016/11/25 0:53,6,1665416,一开始就确定了选择海尔，也非常信赖京东自营产品，想着偶尔也许用得上的功能，再适逢双十一大促，几相结合，接凑成了此一下单。送货之前进行了确认，一切都比较顺利。正好之前海尔的售后给单位空调做保养，所以知道售后可靠。机器噪音在可以接受的范围内，总体来说，确实靠谱，没有选错哈
m***Z,,PLUS会员,,FALSE,5,2016/11/10 15:59,2016/11/5 19:26,5,1665416,洗衣机很高大上！物流快，机器漂亮，头一天中午拍的，隔天早上就到家了，师傅也很耐心的讲解它的功能使用，不得不说海尔的售后比格力的好太多，家里这次买的电器基本上都是海尔的，除了卧室的空调，很好
1***4,,金牌会员,来自京东iPhone客户端,TRUE,5,2016/12/4 19:18,2016/11/10 23:30,24,1665416,虽然双11购物节送货有些晚了，但是可以理解，相信海尔品牌，小高层的新房配个洗衣带烘干的以备不时之需，包装完好，安装师傅说等洗衣机柜装好再安装洗衣机，随叫随到，相信师傅说的应该有道理，使用后再来追评
z***2,陕西,金牌会员,来自京东Android客户端,TRUE,5,2017/1/5 20:29,2016/12/31 11:35,5,1665416,洗衣机不错，质量很好，试洗了两件羽绒衣，很干净。配送员送货及时，服务态度也很好，安装师傅安装很细心周到，京东自营店的东西还是有信誉，支持京东，希望京东能一如既往的诚信经营
羽***0,山东,金牌会员,,FALSE,5,2016/11/4 8:08,2016/11/1 9:37,3,1665416,挺赞的，洗衣机声音不大，使用也简单，而且哪里出了小问题它也会用声音提示处理。不足的地方烘干的时间有点长。整体来说还是一款挺好、挺智能的洗衣机。可以自动称量衣服的重量，判断用的水量，时长，烘干的时候也会根据衣服的干湿程度自动结束。而且洗出来的衣服不会捆在一起，是一件一件的挺柔顺。挺好
j***i,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/15 19:04,2016/11/11 2:53,4,1665416,这款海尔洗衣机关注好久了，双11终于到手了。海尔大品牌，实用，外观大气上档次！太喜欢了！快递太给力了，安装师傅细心安装，耐心谅解！客服实在挺好的！太满意了！
j***6,江苏,钻石会员,来自京东Android客户端,TRUE,5,2016/11/18 11:58,2016/11/10 0:02,8,1665416,双十一守了几天才买到的，果然很高大上，但是第一次试机就提示FC故障，还好售后来弄了下就好了。希望会一直好用。送货员服务超好的，赞。
j***c,,银牌会员,来自京东Android客户端,TRUE,5,2017/2/9 14:05,2017/1/16 20:37,24,1665416,快递师傅很给力，洗衣机也很好，还没用，希望不要让我失望。京东电器不错，已经买了好几个大件家电了。
c***h,北京,钻石会员,来自京东iPhone客户端,TRUE,5,2016/12/13 20:39,2016/12/12 9:09,1,1665416,海尔果然是国产白电第一品牌，12号下的单，13号上午就送过来了，安装师傅一级棒，费了很大力气帮我搬到洗衣机柜下面，感谢?
s***s,,银牌会员,来自京东Android客户端,TRUE,5,2016/11/16 6:59,2016/11/11 23:04,5,1665416,货已到位了，很好看，时尚美观，功能齐全！海尔售后很完善，安装人员安排及时，主动打电话过来了解安装情况。等使用后再追加评价！
j***k,河北,金牌会员,来自京东Android客户端,TRUE,5,2016/11/11 13:39,2016/10/26 15:48,16,1665416,26号下午定的，第二天中午送到了，物流很快，这些天实际应用，感觉海尔的这款洗衣机，确实物超所值。烘干效果很好，由其应对北京雾霾天。
569725337青青草,广东,钻石会员,,FALSE,5,2016/11/19 22:46,2016/11/4 10:03,15,1665416,买洗衣机，挑选品牌是很重要的，所以选择海尔。价格也实惠，洗衣机面板操作也很简单，滚筒洗衣机的烘干功能，对于冬天的一些衣服来说，这是一项比较方便的功能，衣物无缠绕，不会损耗衣物。
j***2,山东,银牌会员,来自京东Android客户端,TRUE,5,2017/2/5 23:18,2017/1/19 11:54,17,1665416,洗衣机挺好的，有个偏心保护功能，毛衣太吸水了，还不能甩干，其他的还好，挺重实的。安装服务很贴心，很到位，需要接水管和下水管。功能挺多的，还需要时间慢慢适应
