,id,User_region,User_level,User_purchase_amount,Order_from,Comment_time,Order_processing_speed,Sending_out_speed,Delivery_speed,If_delivered_on_original/promised_date,If_delivered_right_product,If_intact_in_transit,If_the_last_Km_is_difficult,If_the_last_Km_is_served,Distribution_staff_service_attitude,Installer_arrival_time,Installer_arrival_speed,Installation_speed,Installation_effect,Explaining_service,Installer_service_attitude,If_installer_has_any_charges,If_the_bill_is_complete,If_any_gifts,If_any_after-sales_processes,If_any_revisiting,If_any_gifts_from_after-sales,If_contacted_customer_service,Reason_contacting_customer_service,Customer_service_processing_efficiency,If_fixing,Number_of_fixing,Fixing_result,If_replacement,Replacement_result,If_return,Return_result,After-sales_processing_efficiency,After-sales_attitude,If_problems_solved,Product_model,If_price_changed_in_a_short_time,Changing_price,Compared_to_different_channel_prices,Price_gap,Product_functional_diversity,Energy_saving_index,Performance_index,Noise_situation,Aesthetics_performance,Intactness_performance,If_product_is_faulty,Fault_index,Ease_of_use,Brand_awareness_to_Haier,Awareness_to_product,Cost-effective_satisfaction,Reputation_and_price_satisfaction,Order_processing_satisfaction,Logistics_distribution_satisfaction,Installation_satisfaction,After-sales_service_satisfaction,Product_quality_satisfaction,Consistent_with_the_description_satisfaction,Compared_with_pre-purchase_expectations_satisfaction,Customer_satisfaction,Customer_satisfaction_level,Customer_complaints_index,Will_of_repurchase_the_same_brand_and_the_same_kind_of_product,Will_of_repurchase_the_same_brand,Recommended_to_buy_index
0,1,广东,银牌会员,低,android客户端,20161226  9:51:00 PM,4,4,4,1,1,1,1,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,XQB55-M1269 5.5公斤全自动波轮洗衣机 3年质保,0,,0,,3,3,3,3,3,3,0,,3,3,3,3,3,3,5,5,,3,3,5,5,好评,1,4,4,4
1,2,,铜牌会员,低,iphone客户端,20161120  4:30:00 PM,4,4,4,1,1,1,1,1,4,配送员安装,5.0,5.0,5.0,4.0,5.0,0.0,1.0,1.0,0,0,0,0,,,0,,,0,,0.0,,,,,XQB55-M1269 5.5公斤全自动波轮洗衣机 3年质保,0,,0,,3,3,3,2,3,3,0,,3,5,5,5,3,3,5,5,,3,4,5,5,好评,1,5,5,5
2,3,,铜牌会员,低,android客户端,2016124  3:48:00 PM,4,3,1,0,1,1,0,1,5,次日,2.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,1,0,0,1,售前咨询,5.0,0,,,0,,0.0,,5.0,5.0,1.0,XQB55-M1269 5.5公斤全自动波轮洗衣机 3年质保,0,,0,,3,3,4,2,3,2,0,,3,4,3,3,3,2,4,5,5.0,3,3,3,5,好评,2,4,5,3
3,4,,铜牌会员,低,微信购物,2016911  2:28:00 PM,4,2,2,0,1,1,0,1,3,配送员安装,5.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,XQB55-M1269 5.5公斤全自动波轮洗衣机 3年质保,0,,0,,3,3,3,3,3,3,0,,3,3,1,3,3,2,1,1,,3,2,2,3,中评,4,1,2,1
4,5,北京,金牌会员,低,ipad客户端,20161016  11:30:00 AM,3,3,3,1,1,1,0,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,XQB55-M1269 5.5公斤全自动波轮洗衣机 3年质保,0,,0,,3,4,1,3,3,3,0,,3,5,3,3,3,5,5,5,,2,3,2,3,中评,3,2,3,2
5,6,,银牌会员,低,android客户端,20161018  9:44:00 AM,3,3,1,0,1,1,0,1,3,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,1,0,0,1,物流配送,1.0,0,,,0,,0.0,,1.0,3.0,0.0,XQB55-M1269 5.5公斤全自动波轮洗衣机 3年质保,0,,0,,3,3,3,3,3,3,0,,3,1,3,3,3,1,1,4,1.0,3,3,2,1,差评,5,1,1,1
6,7,上海,钻石会员,低,网页购物,2016828  5:08:00 PM,3,1,1,0,1,1,0,1,2,配送员安装,5.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1,0,0,1,物流配送,1.0,0,,,0,,0.0,,1.0,1.0,0.0,XQB55-M1269 5.5公斤全自动波轮洗衣机 3年质保,0,,0,,3,3,3,3,3,3,0,,3,1,3,3,3,1,1,3,1.0,3,2,1,1,差评,5,1,1,1
7,8,河南,金牌会员,高,网页购物,201712  8:56:00 PM,5,5,5,1,1,1,0,1,3,当天下午,4.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,3,3,3,5,5,5,0,,5,4,5,4,3,5,5,5,,5,5,4,5,好评,1,4,4,5
8,9,山东,金牌会员,高,android客户端,20161227  9:16:00 PM,5,5,5,1,1,1,1,1,5,配送员安装,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,3,3,5,4,3,2,0,,3,4,5,4,3,5,5,5,,4,5,5,5,好评,2,4,4,4
9,10,山东,银牌会员,高,android客户端,20161228  7:26:00 PM,3,5,5,1,1,1,0,1,3,配送员安装,5.0,5.0,5.0,3.0,3.0,0.0,1.0,0.0,0,0,0,0,,,0,,,0,,0.0,,,,,海尔（Haier) 8公斤 斐雪派克直驱变频滚筒洗衣机 智能APP控制 精准投放 EG8014BDX59SDU1,0,,0,,5,3,5,5,3,3,0,,5,5,5,5,3,5,4,5,,5,5,5,5,好评,1,5,5,5
